2017-06-01 13:50:01     LIGHTING is on
2017-06-01 13:50:01 	READ DATA
2017-06-01 14:00:01	STORE DATA
2017-06-01 14:00:01 	READ DATA
2017-06-01 14:10:01 	READ DATA
2017-06-01 14:20:01 	READ DATA
2017-06-01 14:30:01 	READ DATA
2017-06-01 14:40:01 	WATERING is off
2017-06-01 14:40:01 	FAN is on
2017-06-01 14:40:01 	READ DATA
2017-06-01 14:50:01 	READ DATA
2017-06-01 15:00:01 	FAN is off
2017-06-01 15:00:01 	STORE DATA
2017-06-01 15:00:01 	READ DATA
2017-06-01 15:10:01 	READ DATA
2017-06-01 15:20:01 	READ DATA
2017-06-01 15:30:01 	READ DATA
